City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
516,playa del ingles,27.7567,-15.5787,21.33000000000004,85,3,0.89,ES,1717281783
517,massawa,15.6097,39.45,28.670000000000016,65,100,2.81,ER,1717281783
518,kolobrzeg,54.1757,15.5834,11.200000000000045,95,33,3.4,PL,1717281590
519,akureyri,65.6835,-18.0878,11.960000000000036,58,75,3.6,IS,1717281783
520,nouna,12.7333,-3.8667,35.09000000000003,32,83,2.66,BF,1717281783
521,kindia,10.0569,-12.8658,23.890000000000043,80,82,1.44,GN,1717281784
522,okulovka,58.4008,33.2908,16.980000000000018,97,95,2.36,RU,1717281784
523,pudasjarvi,65.3833,26.9167,13.910000000000025,86,65,1.11,FI,1717281784
524,nizhnevartovsk,60.9344,76.5531,4.010000000000048,75,0,2.0,RU,1717281784
525,nova olinda do norte,-3.8881,-59.0942,24.439999999999998,96,51,0.66,BR,1717281785
526,peniche,39.3558,-9.3811,19.05000000000001,84,0,2.74,PT,1717281785
527,lamont,35.2597,-118.9143,35.150000000000034,18,0,8.22,US,1717281785
528,siwa oasis,29.2041,25.5195,32.200000000000045,15,2,2.52,EG,1717281785
529,sarangani,5.4033,125.4636,28.620000000000005,76,88,6.05,PH,1717281786
530,minas de marcona,-15.2119,-75.1103,14.360000000000014,76,0,4.57,PE,1717281786
531,garoowe,8.4054,48.4845,28.879999999999995,51,55,9.51,SO,1717281786
532,mount gambier,-37.8333,140.7667,9.660000000000025,73,100,1.0,AU,1717281786
533,klaksvik,62.2266,-6.589,10.510000000000048,93,100,6.32,FO,1717281786
534,tagab,34.855,69.6492,17.510000000000048,22,0,3.65,AF,1717281787
535,zhezqazghan,47.7833,67.7667,16.620000000000005,62,14,3.82,KZ,1717281787
536,oeiras,-7.0253,-42.1311,29.02000000000004,36,45,2.76,BR,1717281787
537,nicoya,10.1483,-85.452,29.08000000000004,82,97,1.58,CR,1717281787
538,chaman,30.9236,66.4512,25.870000000000005,10,0,3.3,PK,1717281787
539,kerman,30.2832,57.0788,19.920000000000016,30,0,3.09,IR,1717281788
540,ghanzi,-21.5667,21.7833,17.08000000000004,34,61,4.81,BW,1717281788
541,fort mcmurray,56.7268,-111.381,8.770000000000039,61,100,6.17,CA,1717281657
542,filingue,14.3521,3.3168,31.950000000000045,38,100,4.45,NE,1717281788
543,bikenibeu village,1.3673,173.1241,28.620000000000005,68,3,5.91,KI,1717281788
544,anloga,5.7947,0.8973,28.0,80,81,5.8,GH,1717281789
545,alamosa,37.4695,-105.87,26.99000000000001,13,0,11.32,US,1717281789
546,yinchuan,38.4681,106.2731,18.170000000000016,58,100,4.01,CN,1717281789
